"transcript","sampleA","sampleB","logFC","logCPM","PValue","FDR","HG_rep1","HG_rep2","HG_rep3","LG_rep1","LG_rep2","LG_rep3","Expression"
"TRINITY_DN206_c0_g3_i1","RAZ_BM","RAZ_SM",-3.69293333427552,5.22034153086449,4.19393427878439e-21,2.3080897909862e-16,5.157,3.617,5.658,50.457,64.547,72.984,"Downregulated"
"TRINITY_DN133232_c0_g1_i1","RAZ_BM","RAZ_SM",9.08870845701613,3.67318546421241,3.01345128401471e-18,8.29211389822327e-14,5.032,0.582,1.272,0,0,0.01,"Upregulated"
"TRINITY_DN14297_c0_g1_i24","RAZ_BM","RAZ_SM",-6.86771093683599,1.43472340737429,3.66902009939841e-15,6.68226269431455e-11,0.104,0,0,5.74,8.492,2.879,"Downregulated"
"TRINITY_DN60860_c0_g1_i3","RAZ_BM","RAZ_SM",-3.6223763659885,4.65790128046187,4.85682501312974e-15,6.68226269431455e-11,15.045,4.4,11.73,151.056,90.845,141.15,"Downregulated"
"TRINITY_DN913_c0_g1_i2","RAZ_BM","RAZ_SM",-5.97034247479779,3.22825332620478,1.38786889591612e-14,1.47986891111435e-10,0.333,0,0.154,5.51,4.76,22.419,"Downregulated"
"TRINITY_DN6065_c0_g1_i4","RAZ_BM","RAZ_SM",-7.93247414763881,0.721809899014663,1.61340507080824e-14,1.47986891111435e-10,0,0,0,2.645,2.145,2.134,"Downregulated"
"TRINITY_DN33992_c0_g1_i1","RAZ_BM","RAZ_SM",-3.55595684246053,6.33204526023529,5.36939483665502e-14,4.22141822057818e-10,11.146,4.877,18.072,157.695,108.769,135.474,"Downregulated"
"TRINITY_DN18477_c0_g2_i3","RAZ_BM","RAZ_SM",2.78358299831132,2.89506296398455,2.23857964472849e-13,1.53997490209985e-09,5.282,5.488,4.665,0.648,0.852,0.725,"Upregulated"
"TRINITY_DN26051_c0_g1_i4","RAZ_BM","RAZ_SM",-3.92403703113542,1.70912605320379,8.20888558891663e-13,5.01964232778264e-09,0.291,0.086,0.125,2.311,2.047,3.481,"Downregulated"
"TRINITY_DN476_c1_g1_i2","RAZ_BM","RAZ_SM",-7.75448600693317,0.562288534856877,9.20357292155324e-13,5.06509432164761e-09,0,0,0,3.638,5.661,3.9,"Downregulated"
"TRINITY_DN2871_c0_g1_i12","RAZ_BM","RAZ_SM",-3.70705822725742,1.80064988410341,1.58239914925356e-11,7.91688679818367e-08,0.489,0,0.723,4.412,5.083,6.411,"Downregulated"
"TRINITY_DN510_c0_g1_i3","RAZ_BM","RAZ_SM",-3.65668776149415,1.35751577812696,2.95778470253432e-11,1.35648936099395e-07,0.78,0.277,0.935,9.451,6.406,10.454,"Downregulated"
"TRINITY_DN14297_c0_g1_i14","RAZ_BM","RAZ_SM",-7.8412249236582,0.642548710609472,3.64129916439848e-11,1.54150198625774e-07,0,0,0,5.311,6.22,1.889,"Downregulated"
"TRINITY_DN219472_c0_g1_i1","RAZ_BM","RAZ_SM",6.45708767443169,1.15404369399113,1.1589265135879e-10,4.55574012491404e-07,2.724,0.506,1.031,0.031,0,0,"Upregulated"
"TRINITY_DN27908_c0_g1_i2","RAZ_BM","RAZ_SM",-8.20191172049072,0.953789317298592,1.20920291708325e-09,4.43648488925063e-06,0,0,0,1.631,13.938,15.283,"Downregulated"
"TRINITY_DN68228_c0_g1_i1","RAZ_BM","RAZ_SM",-2.30520688683457,4.17437455687358,1.69367896034371e-09,5.82562049397222e-06,3.078,2.358,4.492,19.698,16.984,12.823,"Downregulated"
"TRINITY_DN61992_c0_g1_i3","RAZ_BM","RAZ_SM",-8.26963265437491,1.02673954518132,2.55882998012529e-09,8.28368524271855e-06,0,0,0,3.126,6.67,0.49,"Downregulated"
"TRINITY_DN6456_c0_g1_i4","RAZ_BM","RAZ_SM",-8.33045581664816,1.06998515921068,2.72333800902774e-09,8.32645466604624e-06,0,0,0,5.594,23.419,69.605,"Downregulated"
"TRINITY_DN50435_c1_g1_i2","RAZ_BM","RAZ_SM",-3.54076846029607,3.16805482001996,2.94160789944406e-09,8.5204446914739e-06,2.89,12.189,5.957,150.356,56.544,41.03,"Downregulated"
"TRINITY_DN7721_c1_g1_i1","RAZ_BM","RAZ_SM",-3.23244438152964,2.7050042909659,4.89684837043933e-09,1.34746576609379e-05,4.377,11.244,12.376,97.129,132.639,34.517,"Downregulated"
"TRINITY_DN5741_c0_g1_i7","RAZ_BM","RAZ_SM",-2.12747641055613,6.71459950478849,5.6795017592314e-09,1.48840809436924e-05,49.855,29.369,43.846,217.99,156.009,167.346,"Downregulated"
